,text,year,sentiment,score,emotion
13,"76.	Apart from accusing others of their own most unwise and deadly activities, the rulers of Pakistan have taken a number of measures which are no more than eyewash. How unrealistic these measures are can be judged from the impact they have had on the flow of refugees. The 
Resident of Pakistan has from time to time called upon the refugees to go back; yet, the flow continues in ever- increasing numbers into India. A so-called civilian government has been formed in East Pakistan consisting of men who have no representative character whatever and who are mere figureheads, obliged to take orders from their military commanders. An amnesty is proclaimed, but Mujibur Rahman and other elected representatives are at the same time treated and tried as traitors. We witness the strange spectacle in which the party which would have been, by right, the Government of Pakistan, has been banned and disqualified from political activities. Half the elected representatives have been disqualified from sitting in the National Assembly. In our view, the flow of refugees will not stop, nor will the refugees already in India begin to go back, until a political solution acceptable to the elected representatives of the people has been found. Secretary- General U Thant and many other distinguished statesmen, politicians and leaders of public opinion have consistently maintained that the problem is essentially political. As a first step towards a political solution, Sheikh Mujibur Rahman, the leader of the Awami League, should be set at liberty without delay, and negotiations should be started with him. It has been proved beyond doubt that he alone can speak on behalf of the people of East Bengal. He, and he alone, symbolizes and represents the aspirations and will of the people of East Pakistan. Apart from these actions, which the Pakistanis themselves can take, what can the international community do in these circumstances? The first and foremost action which this Assembly, and all other international organs within or without the United Nations system, can take is to impress on the military regime of Islamabad the fact that force will not succeed and that, therefore, a political settlement between the military regime and the already-elected leaders is essential. We consider it wholly short-sighted to wait until worse crises have arisen. Bilaterally, all Governments can do their utmost to ensure, by whatever means are available to them, that the military regime stops its repression, enters into negotiations with the elected leaders to achieve a political settlement with their consent, and sends the army back to the barracks. Only by these measures will the flow of refugees be stopped and the refugees already in India be able to return home. Our only fault has been that we gave temporary shelter to millions of refugees homeless, food-less, without clothing; sick and aged, men and women, helpless children and dying infants-who were fleeing from terror, many of whom bore marks of recent army brutality. Only by the measures I have suggested can the threat of famine be alleviated and normal conditions restored. If these measures are not taken, and if attempts are made to divert attention by false analysis or wrong accusations, then the prospect is indeed gloomy. We here in this Assembly may argue in a sophisticated manner as long as we like, but those who have been the victims of aggression and who are fleeing from terror and massacre will not have such a tolerant outlook. They will not forgive us or those who did not stand by them in their hour of trial.",1971,negative,-0.555707,"{'sadness': 0.546795, 'joy': 0.144842, 'fear': 0.523479, 'disgust': 0.217799, 'anger': 0.179331}"
14,"157.	In our commitment to national reunification we are sustained by the recollection of those men and women, from north and south, who over the centuries suffered and died in the cause of justice for Ireland. And if we must keep faith with the dead, how much more are we obliged to keep faith with the living, and ensure that justice is accorded to the minority in the North of Ireland now? But the means by which justice for the minority in the North is secured must not render the achievement nugatory. The tragic history of past and present conflict, both national and international, has taught us that the means used to achieve political goals are often of greater relevance to the end result than the intended goals themselves, however just they may be. It is thus vital to eschew those means which would bring even greater tragedy to Ireland.",1971,positive,0.468029,"{'sadness': 0.631854, 'joy': 0.521392, 'fear': 0.073593, 'disgust': 0.056664, 'anger': 0.066409}"
15,"166.	Great Britain is rightly proud of its people's profound regard for democracy and fair play. And indeed, even when we were engaged in our bitterest struggles with British Governments, there was never lack of voices raised in Britain on our side. Many British statesmen have pleaded eloquently for Ireland. And the voice of the plain-working English men and women has always been raised against policies of their Governments which, whatever their specious justification, were wrong and unjust.",1971,positive,0.462204,"{'sadness': 0.22922, 'joy': 0.612801, 'fear': 0.035964, 'disgust': 0.068223, 'anger': 0.118442}"
16,"172.	The efforts of a number of years, the patient search for points cf possible agreement, and the care not to disturb the balance of forces have finally been rewarded by aft agreement that is probably one of the most significant of the post-war period. I am speaking of the agreement that will guarantee the rights of the people of Berlin. That city had stood as the symbol of a Europe divided in two, one part armed against the other. In order to progress it was necessary to do away with that line on a future of peace and co-operation; proof had to be given that the fate of 2 million men and women was not going to be jeopardized. Let us pay tribute here to the goodwill shown by the Governments concerned during the course of the negotiations.",1971,positive,0.436413,"{'sadness': 0.239694, 'joy': 0.461186, 'fear': 0.102355, 'disgust': 0.091051, 'anger': 0.114127}"
17,"39.	In the specific case of Peru we have always been an underdeveloped society of dependent capitalism . Our basic problems were generated within that system and, therefore, could not be solved by maintaining it. From this basic standpoint, we decided upon a participating society in which the power of decision should be with the men and women who constitute the bases of our institutions. A society no longer governed by the individualism of the capitalist system nor by the hypertrophy of an all- controlling State, one whose acts are a reissue of the powers that alienated our traditional society which was already dehumanized and unjust.",1971,positive,0.439399,"{'sadness': 0.418347, 'joy': 0.171051, 'fear': 0.179072, 'disgust': 0.166582, 'anger': 0.115685}"
18,"40.	'Social democracy of full participation' is what President Velasco Alvarado called the target of the new united and self-generating society towards which the Peruvian revolution is directing its steps. We see our revolution as a process whose development will spread over an entire and historic period in the life of our country. But the achievements we have thus far chalked up already foretell the nature of our new society: an agrarian reform that returns the land to those that till it, a reform of enterprise that gives the workers access to profits, to management and even to ownership of the means of production; a new policy in the utilization of our resources, which restores to Peruvian society its primary right to be the first to benefit from their exploitation; an educational reform that redefines the entire approach to education within a society that seeks new forms of social behavior; and a new policy of popular participation, whose aim is to make it possible for every man and woman of my people to be prepared to exercise his and her right truly to choose his own destiny in all fields of social life and at all levels of the exercise of power.",1971,positive,0.713536,"{'sadness': 0.070345, 'joy': 0.751167, 'fear': 0.059165, 'disgust': 0.072933, 'anger': 0.073222}"
19,"70.	So in a way, we, the small nations, can bring power politics to an end by first concentrating on internal development and by steadfastly refusing, like the Trojan women in the Greek play, to enter into any cold-war liaison 
with the major Powers. This is the only practical strategy for the survival of small nations in the multi-polar world that is now emerging.",1971,positive,0.609957,"{'sadness': 0.373711, 'joy': 0.216857, 'fear': 0.091673, 'disgust': 0.249773, 'anger': 0.31317}"
20,"207.	The most ardent supporter of a global concept of the problems we all face is, of course, the SecretaryGeneral. U Thant is about to leave the United Nations after having served as the world's chief steward for the past 10 years. He will leave behind an outstanding record of achievement in the field of international cooperation and understanding. His great humanism, his devotion to peace and justice, his deep concern for human dignity have endeared him to the hearts of the Somali people. Many of his words of wisdom and inspiration will be echoed in current and future debates of this Organization. I can think of no better way of paying tribute to him, and of ending this statement, than by quoting some of those words. In his address to the fifty-first session of the Economic and Social Council held in Geneva this year he wrote:
'I look forward to the day when students will read about the trying period of the 1960s and 1970s, when human existence and civilization stood in the balance, and when the vision and energy of men and women, acting as the bearers of great responsibilities, or just as the world's first servants, succeeded in making these two decades a period of peaceful transition.'",1971,positive,0.356045,"{'sadness': 0.471697, 'joy': 0.685326, 'fear': 0.063016, 'disgust': 0.096904, 'anger': 0.081254}"
21,"183.	You have referred to international ethics. You have made much of the scale of values which leads the antagonists to negotiate with each other. But did you not think that in your dealings with the Palestinians and the Arabs all values have been destroyed and flouted? In your case, as in the case of the Palestinians, humble shopkeepers, workers, even women, have been turned into killers. Have not you given some thought to the fact that the content and the significance of ethics has changed, that the scale of values has been turned upside down: robbing, smuggling, lawlessness, armed attack, political assassination, violation of property and quite recently the hijacking of planes have been considered as acts of patriotism? Did you not give some thought to the fact that hatreds have germinated 25 times, that during the three wars which have been won all Palestinian families have been dismembered, dispersed, discarded, ruined? And this is true also of many other Arab families? And these seeds of revolt are scatter throughout the region? So, what scale of values are you speaking about? What precedents are you referring to? To meet with you? Sc. what. Of course we could meet, but why? To what end? To confirm your attitude of arrogance, which has so often been proclaimed and made public?",1971,negative,-0.617861,"{'sadness': 0.481238, 'joy': 0.462892, 'fear': 0.072443, 'disgust': 0.10072, 'anger': 0.47985}"
22,"67.	This succession of events, the publication of the Pentagon papers and the atrocities that were revealed in military trials, which described the mass murders of innocent Viet-Namese women and children by the United States army, turned American public opinion against its own Government.",1971,neutral,0.0,"{'sadness': 0.256475, 'joy': 0.01924, 'fear': 0.103429, 'disgust': 0.702418, 'anger': 0.233353}"
23,"38.	There are still other sources. The tribalist inflation in Rwanda was condemned by Rene Lemarchand in his book Rwanda and Burundi,  in which he exposes the bloody revolution of Rwanda, stating that that of Burundi was accompanied by no bloodshed when the monarchy was overthrown in 1966. Romain Foucher, in the magazine Esprit of July-August 1972, echoed the universal indignation in the face of the virulent tribalism of Rwanda:
'The ethnic crystallization in fact began in Rwanda, where discriminations of this type were always more advanced and more extreme and the revolution which broke out there in 1959, with its sequels which lasted until 1963, established a 'panhutu' regime, which saw the violent disappearance of some 20,000 Batutsi (the most terrible genocide that had occurred since that of the Jews, as Bertrand Russell said) as well as the forced expulsion of 200,000 others. These refugees are still today in camps, as are their Palestinian counterparts. The Rwanda example was decisive with regard to the evolution of Burundi, to the extent that the Hutu putsch of 1965, which was also accompanied by massacres' of the Tutsi-children, women and old people-'in the Muramvya region, seemed to be bringing the country into the same vicious circle.'",1972,negative,-0.581117,"{'sadness': 0.295304, 'joy': 0.10164, 'fear': 0.154292, 'disgust': 0.185361, 'anger': 0.52825}"
24,"235.	The relaxation of tension at the international level which emerged this year thus makes even more unacceptable the unjust and criminal aggression that a Power of the dimensions of the United States continually perpetrates day after day against the heroic Indochinese people of VietNam, Laos and Cambodia. While it proclaimed in San Francisco, on 26 June 1945, that it was 'determined to save succeeding generations from the scourge of war, which twice in our lifetime has brought untold sorrow to mankind', one of the signatories to this Charter, and not among the least of them, today is happily forcing upon a people which had already experienced a long and heroic armed struggle for national liberation the most painful and atrocious of wars that mankind has ever known. This is a war in which the United States is not satisfied merely with killing the combatants, but also kills women and children; war where the aggressor, flouting all laws, destroys hospitals and schools, compelling man to live underground; a war which destroys the dikes that the people of Vietnam had built in their struggle with nature. To sum up, this is a war where defoliants, herbicides and other biological and bacteriological weapons destroy even the environment where, once peace has been restored, the children of the heroes who today are giving their lives for their freedom will be expected to live.",1972,negative,-0.780841,"{'sadness': 0.650133, 'joy': 0.122832, 'fear': 0.115442, 'disgust': 0.123031, 'anger': 0.247775}"
25,"261.	In addition to this terrorism we have that which day by day the United States bombers inflict on civilian populations, women, the sick in hospital and children in schools in Vietnam. The bombing of Guernica inspired Picasso to create one of the most famous canvases of this century, which is an outcry of horror against nazism. But Guernica is happening today, more than 400 times in a single day in Vietnam. Is there any greater terror? And why do people pretend to ignore that terror which has just been spread blindly along the frontiers of Lebanon by the armies and aircraft of Israeli Zionism?",1972,negative,-0.755625,"{'sadness': 0.215153, 'joy': 0.472934, 'fear': 0.645154, 'disgust': 0.108834, 'anger': 0.074487}"
26,"99.	The myth of peace must, in this last quarter of the twentieth century, become the effective reality of peace. Despite its obvious shortcomings, the United Nations is still a good means of seeking that goal that is so ardently desired by my country and the immense majority of men and women of all other countries of the world. The sufferings of the war-torn peoples are the best justification for our appeal for peace in justice and law.",1972,positive,0.901668,"{'sadness': 0.428097, 'joy': 0.502731, 'fear': 0.003797, 'disgust': 0.004919, 'anger': 0.10625}"
27,"119.	Political Zionism -was not really satisfied with the boundaries allotted to the Jewish State in that resolution. Further expansion to usurp other parts was needed to satisfy the Zionist dream of dominating the totality of Palestine. This was brought about by terrorizing the Palestinians. Women and children were massacred, houses dynamited, villages razed. These actions were perpetrated by specially organized terror groups directed by some of the better-known Israeli leaders of today.",1972,negative,-0.600447,"{'sadness': 0.180487, 'joy': 0.156987, 'fear': 0.480954, 'disgust': 0.146429, 'anger': 0.133699}"
28,"265.	An item of the utmost interest is that which concerns world monetary policy. It is essential, in deference to strict justice, that the small countries should be heard and heeded when decisions are made about the world monetary system. Ideally there should be no privileged currencies. But this does not imply that we should overlook the reality which the world teaches us, that in the world some countries are leaders in economic and military matters; rather we should try to ensure that this leadership takes into account the rights to which, in justice and equity, all the nations of the world are equally entitled. What I have said is nothing more than a reaffirmation of a positive principle of international law such as the paragraph in the Preamble of the United Nations Charter which says that the peoples of the world, in adopting that Charter, reaffirm their 'faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women and of nations large and small...'.",1972,positive,0.763434,"{'sadness': 0.169723, 'joy': 0.569445, 'fear': 0.041827, 'disgust': 0.061033, 'anger': 0.077311}"
29,"140.	The United Nations Charter proclaims the fundamental rights of man, the dignity and worth of the human being, the equality of rights of men and women as well as of nations great and small. The Universal Declaration of Human Rights goes further, recalling that all human beings are born free and equal in dignity and rights.",1972,positive,0.920722,"{'sadness': 0.157285, 'joy': 0.568932, 'fear': 0.023681, 'disgust': 0.177866, 'anger': 0.047088}"
30,"25.	We are greatly surprised to see that the Government of the United States should hasten to lead the campaign of what it terms combating terrorism, at a time when the United Nations itself and permanent missions here in New York are subjected to threats and acts of violence by American terrorist organizations, without the United States authorities taking any effective action against those terrorists in contravention of its contractual obligations towards the United Nations. We also find it totally unacceptable that the United States Government should, under the cloak of humanitarian motivations, call for action against terrorism while a deluge of American bombs engulfs the innocent women and children of Viet-Nam, and 'civilized' American generals threaten to bomb that valiant people back to the Stone Age.",1972,negative,-0.884218,"{'sadness': 0.262169, 'joy': 0.019613, 'fear': 0.149964, 'disgust': 0.632958, 'anger': 0.29582}"
31,"77.	The story seems unending. Only a few hours ago, the heroes of the Arab liberation movement handed a transistor radio to a woman passenger about to embark on an airliner from Paris to Israel, with hundreds of passengers. It contained a heavy explosive charge. The passenger showed the vigilance necessary to transmit it to the security authorities. The moral qualities of this terrorism come to expression here.",1972,negative,-0.800585,"{'sadness': 0.219161, 'joy': 0.551167, 'fear': 0.099976, 'disgust': 0.108607, 'anger': 0.132941}"
32,"79.	There are many forms and varieties of terrorist violence. They spread like a contagious germ. They respond to destructive and nihilist impulses that have taken root in contemporary culture. And the ultimate arrogance of the terrorists is not that they perform their outrages, but that they then ask for understanding and endorsement. They base their assault on the proposition that all restraints, civilities, immunities and human solidarities must be sacrificed to what they unilaterally proclaim to be their 'rights'. When they endanger the principles of international order, such as the sovereignty of States, the legal systems of free societies, the universal freedom of the air, the physical safety of men and women who handle the international mail, then the United Nations would lose all credit and repute if its Secretary-General were not to focus its attention and conscience on the approaching abyss.",1972,negative,-0.279507,"{'sadness': 0.511106, 'joy': 0.078881, 'fear': 0.180394, 'disgust': 0.155854, 'anger': 0.436095}"
33,"127.	While I am addressing you, the Khmer people, innocent victims of an unjustified and unjustifiable foreign aggression, is still suffering in its own flesh and blood. Its sufferings are such that neither the comfort nor the ultramodern installations of this glass palace, nor the distance that separates me from my country, can banish from my mind the image of the ghastly spectacle of the exactions committed by the invaders against our civilian population: women mourning their husbands; children, their mothers; monks, their monasteries that have been devastated; and the refugees, their lost homes.",1972,negative,-0.97748,"{'sadness': 0.653416, 'joy': 0.002833, 'fear': 0.080326, 'disgust': 0.496216, 'anger': 0.084316}"
34,"32.	First of all, the study must cover all the acts of violence. To circumscribe it to the acts committed by the Palestinians alone would be proof of partiality and injustice. One must not pretend to forget that it is the Zionists who inaugurated political terrorism and introduced it in the Near East. Today there is too great a tendency to wish to ignore the bloody exploits of the Haganah, Irgun, Stern and many other Zionist terrorist organizations. But how can one fail to remind all those who no doubt in order to clear their consciences are accusing the Palestinians of the assassination of Count Bernadotte, the United Nations mediator, or of the massacre of the inhabitants in the village of Deir Yassin, where the bodies of old people, women and children were thrown into a hole where they were discovered by the International Red Cross? How can we forget the attack on the King David Hotel in Jerusalem which killed men, women and children?",1972,negative,-0.814394,"{'sadness': 0.603498, 'joy': 0.040066, 'fear': 0.160172, 'disgust': 0.493529, 'anger': 0.279762}"
35,"190.	The Second World War left a terror that is still in our midst, as witnessed by the systematic and premeditated planting of mines in our land. War no longer exists among the advanced societies which tested their weaponry on our soil and tried their instruments of terror on our people. Let us call them to account for those practices. The planting of mines in the soil of the Libyan Arab Republic and other North African States was an instrument of war used equally by the Allies and the Axis nations. When the war was terminated, those mines were left to defile our human environment, to explode in the faces of our innocent men, women and children, and so to hinder in an effective manner our progress and our development.",1972,negative,-0.870602,"{'sadness': 0.234917, 'joy': 0.074994, 'fear': 0.527884, 'disgust': 0.158067, 'anger': 0.162325}"
36,"131.	Israel is the source of terrorism in the Middle East area. How else can we interpret the daily acts of aggression against Lebanon, Syria and Jordan? How else can we interpret the murder of innocent women, children, and the aged and the use of poison gas and napalm by the Israelis? Is this not terrorism?",1972,negative,-0.826691,"{'sadness': 0.238196, 'joy': 0.004453, 'fear': 0.246951, 'disgust': 0.32666, 'anger': 0.386617}"
37,"178.	What a vastly different world we would now have if the great Powers had channeled even a modest portion of the immense resources which they expended on the cold war to the United Nations in order to achieve the Charter's aim 'to promote social progress and better standards of life in larger freedom', thereby giving substance to the other primary aim of the Charter: 'to reaffirm faith in fundamental human rights, in the dignity and worth of the human person, in the equal rights of men and women and of nations large and small'.",1972,positive,0.687311,"{'sadness': 0.051986, 'joy': 0.821652, 'fear': 0.008726, 'disgust': 0.040779, 'anger': 0.066647}"
38,"83.	Yes, let us deal with terrorism. Let us deal with it as we see it: in the pestilence of colonialism that pollutes our continent; in racialism, that defiles our societies; in the tragedies suffered by the innocent peoples of Asia, where bombardment is incessant and armies, despite all the peace overtures, are still marching on with drum and fife; in the willful attacks from the air and land on the peaceful hamlets and innocent women and children of Lebanon. The speakers who have decided to try to keep this Organization during this session in a spasm of anxiety cannot tell us that individual deaths are tragedies and mass murders are only statistics.",1972,negative,-0.89434,"{'sadness': 0.608769, 'joy': 0.007504, 'fear': 0.157581, 'disgust': 0.38594, 'anger': 0.19521}"
39,"92.	We condemn the escalation of United States aggression against the people of Viet-Nam-the bombing of non- military targets, the deliberate destruction of economic establishments, dams and irrigation projects, and the wanton killing of civilians children, women and old men. The entire international community and the civilized world ask: Do not these acts constitute most hideous war crimes, directed against the whole of humanity?",1972,negative,-0.931477,"{'sadness': 0.272036, 'joy': 0.02151, 'fear': 0.157155, 'disgust': 0.543874, 'anger': 0.384501}"
40,"144.	It is a highly strange and dubious occasion on which we see the representative of Israel stand before this General Assembly to discuss terrorism and measures to prevent it. How very incongruous that the representative of those institutions of murder and terrorism, the Hagana, the Stern gang, and Irgun Z'vai Leumi another name for Israel- should speak of terrorism. Who was it who murdered Count Bernadotte? Who perpetrated the massacres at Deir Yasin, at Qibya, Qalqiliya, and Tulkarm? Who were the ones who blew up the King David Hotel in Jerusalem, burying innocent old people, women and children? Who was it who organized and executed the campaign of parcels containing explosives sent by post to Egypt, causing the death of scores of people? Who were the' heroes of the Lavon scandal? And who was Lavon, the main protagonist of this episode?",1972,negative,-0.791795,"{'sadness': 0.574558, 'joy': 0.064346, 'fear': 0.122963, 'disgust': 0.591964, 'anger': 0.461939}"
41,"36.	In the view of the Chad delegation, there are a few reasons that explain the persistence of world problems. Everywhere we see resolutions and recommendations of the United Nations that cannot be put into effect because it is not the will of any given Power in a given instance. Each Power is looking for its own victory outside the world Organization. Out of scorn for other States, all these Powers systematically trample underfoot our resolutions and recommendations, which are after all common solutions to common problems. Since it is so difficult for them to come to an agreement, their attempts to seek victory for themselves are vain' and futile. That is why, in Africa, Portugal, Vorster and Ian Smith have not yet given way to our international Organization. That is why in the Middle East Security Council resolution 242(1967) has so far remained unimplemented. That is why in South-East Asia, men, women and children continue to be incinerated every day.",1972,negative,-0.572922,"{'sadness': 0.530961, 'joy': 0.515455, 'fear': 0.095125, 'disgust': 0.134801, 'anger': 0.077375}"
