,text,year,sentiment,score,emotion
20,"15.	The followers of Islam believe that their faith represents that ultimate perfection of the divine message which has flowed to mankind through a succession of Prophets. Muslims are enjoined to accept the missions of all the Prophets who preceded Prophet Mohammed—peace be upon him. In the Holy Koran it is stated: 'Those who believe'—what Mohammed revealed—'and those who are Jews, Christians, Sabeans or whoever believes in Allah and the Day of Judgement, they shall have their reward.' The Prophet of Islam himself said: 'I believe in the one Allah, in His revealed Books, in His message bearing Prophets, in the Hereafter.' It is noteworthy that the Prophet spoke of 'the revealed Books', and not merely of the Book. Similarly, he spoke of God's 'message bearing Prophets', and not merely of one Prophet, that would be himself. We Muslims are bound by our faith to believe in all the Prophets and the revealed Books from Adam to Prophet Mohammed—peace be upon him—who is the last of the Prophets.",1980,positive,0.722885,"{'sadness': 0.062897, 'joy': 0.706317, 'fear': 0.042211, 'disgust': 0.056241, 'anger': 0.086977}"
21,"121.	The experience which Peru lived through during that time became a subject of examination and expectation throughout the world and is a lesson which should not go unnoticed in this universal forum. It proves that the desire to move forward in search of social justice, in countries such as ours, does not come from the imposition of ideological conceptions which claim arbitrarily to interpret collective anxieties and satisfy collective needs. It shows that, however good intentions may be, the will of the people must be ascertained directly. This has proved once again that, without freedom, control and preservation of the national interest are relaxed and the wellbeing of the vast majority becomes a mere dream. The struggle for justice and the quest for egalitarian values must go hand in hand with an affirmation of freedom and must be reconciled with the full enjoyment of human rights.",1980,positive,0.692546,"{'sadness': 0.176392, 'joy': 0.636104, 'fear': 0.120381, 'disgust': 0.033333, 'anger': 0.116306}"
22,"35.	We have come some way but have a long way to go. We have made some progress but the end of the journey is still far. But reach it we must. Since the beginning of human history the world has been full of conflicts, disputes and wars. This is the tragedy of human existence. The big question is can man ever live with his neighbour in perfect harmony? Can areas of conflict be reduced? In short: can wars be avoided? Some may answer yes; others may say no. Whatever our answer may be, one thing cannot be disputed: that we stand to gain in a world of peace and to lose in a world of war. We must therefore commit ourselves to ensuring peace in the world.",1980,positive,0.304787,"{'sadness': 0.611331, 'joy': 0.600945, 'fear': 0.11319, 'disgust': 0.086742, 'anger': 0.127142}"
23,"178.	Yet I would venture to maintain that another characteristic of our times is paradox. Indeed, never before has man been able to unravel so many of the secrets of nature or to master such advanced technology. Never before, moreover, has he been so close to bringing about his own total destruction. Distances have disappeared, but men are ever more remote from their fellows. Purely natural factors have added immeasurably to the wealth of a few and have deeply impoverished many others. On the one hand, culture has reached spectacular levels, while, on the other hand, it has sunk to abysmal depths, as occurs in warlike confrontations based on differences of religion and race long thought to have been done away with forever.",1980,negative,-0.420034,"{'sadness': 0.188256, 'joy': 0.579028, 'fear': 0.109203, 'disgust': 0.073258, 'anger': 0.516961}"
24,"48.	This is a challenge to the world conscience and must be met firmly and fairly. It is a challenge to the Universal Declaration of Human Rights, which proclaims that everyone has the right to freedom of conscience and religion. How can the conscience of the world close its eyes to the fate of millions of human beings who are undergoing acute suffering merely because they profess a particular faith? True to the injunctions of Islam, our hearts go out not only to the Muslim minorities who are subjected to discrimination and oppression but to all minority communities, regardless of their creed, colour or caste, who are made to suffer a similar fate.",1980,positive,0.361689,"{'sadness': 0.515432, 'joy': 0.384925, 'fear': 0.067351, 'disgust': 0.055069, 'anger': 0.072544}"
25,"15.	Throughout history it has been the nature of man and of the societies he has organized to give rein to the desire for power. Whether in individual competition or in the race for leadership among nations, that constant is found at all levels, with formidable consequences, which are reflected in perennial wars, the exploitation of the weakest, greed and pillage. Generous doctrines and ideologies have been born aiming at radically reversing this course of events, but no conclusive results have been produced in practice. Those that professed liberalism and fundamental human rights based on freedom have equally not been able to resist the temptation of abusing and denying their own principles. And that is a pity.",1980,negative,-0.736222,"{'sadness': 0.685302, 'joy': 0.554801, 'fear': 0.074164, 'disgust': 0.088397, 'anger': 0.517454}"
26,"236.	Experience has long taught us that the existence of a balance based on fear and the absence of global conflict between the great Powers is hot likely to secure lasting peace. On the contrary, it often gives rise to further rivalries, obstructs the emancipation of peoples and prevents them from freely choosing their own way of life. All this engenders local wars and conflicts in various parts of the globe in which thousands of lives are lost daily, immeasurable suffering is inflicted on people, and tremendous material damage is done.",1980,negative,-0.713993,"{'sadness': 0.523918, 'joy': 0.232315, 'fear': 0.31991, 'disgust': 0.008721, 'anger': 0.036785}"
27,"49.	We can be proud that for our country freedom means also the rule of law, the inherent right of men, all men without discrimination. Human rights are firmly guaranteed by our institutions. All have the right to God-given bread, in security and dignity. The solidarity of societies and respect for the dignity of men and nations; solidarity in the constant struggle against barbarity and organized cruelty; and, above all, the constant struggle for justice within a pure and simple democracy, without limitation—these constitute the legacy of the Divinity.",1980,positive,0.822872,"{'sadness': 0.116685, 'joy': 0.668822, 'fear': 0.021125, 'disgust': 0.096936, 'anger': 0.162949}"
28,"10.	In the face of this interdependence, which must be taken into account in the everyday reality of international relations, we can adopt one of two paths. The first, a brutal one unworthy of civilized man, consists in freeing ourselves from our own independence by making others even more dependent upon ourselves, that is, upon our goodwill. The history of the world since the Second World War has taught us that this path is a dead end and that it should no longer be seen as applicable to the future.",1980,negative,-0.51451,"{'sadness': 0.245282, 'joy': 0.609323, 'fear': 0.027536, 'disgust': 0.117007, 'anger': 0.078611}"
29,"16.	We are without doubt at a crucial juncture in international relations. What we do, much more than what we say, will shape the international order in the next two decades of the century. Perhaps today more than at any other time in human history we stand at a decisive crossroads. One way could lead us to a world of immense possibilities for the good of the human race; the other could be the path of decline and the destruction of all human values as we know them today.",1980,positive,0.599395,"{'sadness': 0.321569, 'joy': 0.531579, 'fear': 0.100815, 'disgust': 0.024115, 'anger': 0.06865}"
30,"Unfortunately, we are faced today with a harsh reality. It is true that it has been possible to avoid the bloody specter of a world conflagration, but one may wonder whether this is due to a feeling of fraternity, or whether it is simply the balance of terror which has prevented this final holocaust from occurring. whatever the answer to that question, we must acknowledge that it is not peace which has prevailed in the world over the last 40 years. How many conflicts, crises and disputes have afflicted mankind since 1945? How much blood has been shed? Hew many men and women have died as a result of violence? How many have suffered imprisonment, torture, exile and oppression?",1985,negative,-0.755309,"{'sadness': 0.679167, 'joy': 0.110761, 'fear': 0.639992, 'disgust': 0.103996, 'anger': 0.476983}"
31,"Lowes Dickinson explained this, showing a striking grasp of the facts, when he
said:
'As long as the States of the world go on arming themselves with a view to war, as long as they continue to follow policies which can be carried out only by means of war and as long as they enter into alliances with the expectation of war and conduct their relations in secret because of war, there will continue to be war, until that war puts an end to mankind; and throughout
all that time anything alleged to be a reason for the continued existence of the State - the prosperity of the people, the quest for knowledge, the practice of art and religion - will be sacrificed to Moloch, which in turn will offer nothing back except the expectation of sacrificing it all yet again.'",1985,negative,-0.879649,"{'sadness': 0.469331, 'joy': 0.15068, 'fear': 0.034003, 'disgust': 0.319948, 'anger': 0.280994}"
32,"It is certainly not an accident that the people most revered by posterity are those who, instead of the arrogance of power, chose the humility of compassion in their search for solutions to the problems which confronted them. To them it was a self-evident truth, which it seems necessary to restate, that those whom we consider our enemies are not necessarily the demons we sometimes choose to paint them; but, like us, simply men, women and children - similar to us no doubt in their weaknesses but also in their aspirations, dreams and ideals, both for themselves and their children. The interdependence of humanity and the brotherhood of mankind are often proclaimed but, to our great misfortune, rarely lived up to. Today, however, we are in such a situation that we cannot afford to fail in our realization of this essential truth.",1985,negative,-0.289623,"{'sadness': 0.742749, 'joy': 0.186204, 'fear': 0.069711, 'disgust': 0.02946, 'anger': 0.065452}"
33,"The present state of international relations is not a cause for optimism regarding the future of the human race. But optimism is not a rational sentiment: in these sombre times it is the nutrient the spirit needs to continue living. Thus it was for us, even during the most difficult hours of the long night that lay over our country for more than a decade, during which freedoms were lost and happiness disappeared from our land. But time justified those of us who waited with faith; reason, commonsense and the instinct of coexistence finally prevailed. Power was returned to the people with not a drop of blood shed, and the democratic institutions recovered their status and their authority.",1985,positive,0.632913,"{'sadness': 0.162806, 'joy': 0.780742, 'fear': 0.046946, 'disgust': 0.007184, 'anger': 0.020196}"
34,"This year, more than ever before. Millions of people are hoping and praying that we, the leaders of the world, will come to our senses and hear what they have been saying. Host people do not want to hear fancy words and unfulfilled proHises. Most people do not want to live in fear and with uncertainty and insecurity. They want us to listen as well as talk to each other. They want us to reason together and devise ways to ensure that this generation leaves a world for the next generation to inherit. They want us to assure then that the stars above us will continue to be for lovers to gaze at, for thinkers to ponder over, and for scientists to explore - but not a place to store the instruments of war.",1985,negative,-0.335139,"{'sadness': 0.48497, 'joy': 0.603824, 'fear': 0.641184, 'disgust': 0.083686, 'anger': 0.050465}"
35,"Our world is witnessing increasing terrorism in the form of the kidnapping of individuals, the hijacking of aeroplanes, the bombing of civilian installations and the killing of innocent people, we deplore terrorism in all its forms; we find it contradictory to lofty human and moral ideals and contrary to the teachings of our religion, Islam, and other revealed religions. We belong to a nation that takes pride in its civilization, ideals, traditions, religion and human heritage, and we consider terrorism and violence to be a phenomenon that reflects ideological bankruptcy.",1985,negative,-0.519215,"{'sadness': 0.292716, 'joy': 0.039595, 'fear': 0.078054, 'disgust': 0.608361, 'anger': 0.252852}"
36,"Consequently we have eliminated all forms of discrimination, which can be justified only on the grounds that some human beings are considered to have greater rights than others. No distinctions are made or tolerated in Ecuador for reasons of race, religion, sex, age, nationality or political belief. Women have the same rights as men, and if a woman freely chooses a function within society she does so because of her natural vocation and not because there are laws or policies that bar her from any activity or that limit her aspirations.",1985,negative,-0.733739,"{'sadness': 0.173027, 'joy': 0.20352, 'fear': 0.023911, 'disgust': 0.568191, 'anger': 0.135857}"
37,"To defend human rights is also to protect citizens against terrorism, whose objective is none other than to eliminate coexistence and freedom. Like fascism, terrorism attempts to impose itself on democratic society by force. This new form of totalitarianism, which tramples equally upon the life and liberty of man, each day has a greater international element, and so our response to it must also be international.",1985,negative,-0.40261,"{'sadness': 0.324801, 'joy': 0.354402, 'fear': 0.155764, 'disgust': 0.27941, 'anger': 0.028192}"
38,The meaning of freedom for contemporary man is not merely the absence of coercion or of interference. It is the prospect of a happy life for oneself and for one's own. Thence the concept of freedom which concerns itself specifically with the actual conditions of a free life and strives to promote the broadest possible equality of opportunity. Modern man is one whose life today reflects Jefferson's dream of the personal and collective pursuit of happiness.,1985,positive,0.970522,"{'sadness': 0.008222, 'joy': 0.889357, 'fear': 0.026211, 'disgust': 0.024335, 'anger': 0.015263}"
39,We are firmly convinced that only by applying uniform criteria can we make an analysis and assessment of the different types of violations of human rights which would make it possible to denounce and eliminate more or less covert cases of violations of such rights. We firmly believe also that this an imperative for overcoming the misleading concept that State sovereignty can be invoked to prevent international protection of human rights.,1985,negative,-0.579672,"{'sadness': 0.38178, 'joy': 0.151029, 'fear': 0.298534, 'disgust': 0.07303, 'anger': 0.062613}"
40,"In the midst of the immense chaos that the French Revolution caused in Europe two centuries ago, in a world suddenly left without points of reference and threatened by new forms of despotism, a philosopher of that age and of all ages enthusiastically but cautiously distinguished between universal law, the promise of everlasting peace among nations and respect for the freedom of all. Today, when the end of the cold war is changing the world's geopolitics, when the people of Eastern Europe are once again finding the magnificence and the risks of freedom and when, at the same time, the danger of a war with unprecedented consequences is emerging and new problems are gaining priority, we must return to the principles of that centuries-old perception.",1990,negative,-0.4286,"{'sadness': 0.27844, 'joy': 0.395909, 'fear': 0.317104, 'disgust': 0.058272, 'anger': 0.133177}"
41,"But we should not be mesmerised by these happy changes. We must now knuckle down to the mundane task of making these changes a part of everyday life, of our habits of thought and our instinctive sense of reality. We cannot yet be sure of the permanence or the full consequences of the 'velvet' revolutions around the world. We need to remember that the great Chinese statesman Chou En-lai, when asked what he thought of the French Revolution, replied, 'It is too soon to tell'. I am not suggesting that we need 200 years for reflection, but I am sure we would be wise to proceed with caution and with caution, renewed determination.",1990,positive,0.310486,"{'sadness': 0.054559, 'joy': 0.852258, 'fear': 0.04447, 'disgust': 0.008918, 'anger': 0.046553}"
42,"The dispersal of national energies has led to dissimilarities and violence, deplorable to the extreme. As always, the Government bears the responsibility. It is a matter of both perception and reality: the reality of less cohesion and the unsubstantial perception of a guilt that does not exist as such. In spite of all that, any act of domestic violence distresses us. Clashes of different social groups on the streets, politically exploited by interested forces, are terrible events designed to Ьо1Л us back.",1990,negative,-0.728471,"{'sadness': 0.346066, 'joy': 0.010917, 'fear': 0.218627, 'disgust': 0.168906, 'anger': 0.618957}"
43,"It is regrettable that some countries behave as if legitimacy is to be respected only when it can be pressed into the service of their greed, their interests and their policies. We fear, and all the nations of the third world would be wel1. advised to fear, that this outlook may become entrenched as a result of the changes that have been taking place in our world over the past few years. Those changes, it would seem, have led some to feel that they have come out as the only super-Power in the post-cold war world.",1990,negative,-0.730085,"{'sadness': 0.15475, 'joy': 0.029508, 'fear': 0.783694, 'disgust': 0.114411, 'anger': 0.137364}"
44,"After a traumatic century in which virtually the entire intelligentsia of the world allowed itself to be seduced by the mirage of radicalism, sacrificing freedom on the altar of equality, the totalitarian utopia bas collapsed, leaving it quite evident that no equality and no progress have been achieved and showing that freedom, despite all the chains, is a fundamental and invariable force. The most exemplary and beautiful phenomenon we have noted in recent months is that freedom eventually prevails over any ideology that tries to adulterate or destroy it, and the individual will survives even the most sophisticated collectivist aberrations.",1990,positive,0.817653,"{'sadness': 0.699299, 'joy': 0.153528, 'fear': 0.056177, 'disgust': 0.039296, 'anger': 0.211842}"
45,"We are tackling this problem with prudence, equity and a great sense of responsibility. There is a need to clarify and ascertain the truth about what happened in the past so as not to keep endlessly alive a constant source of anguish. Nevertheless, we do not wish to hold back the march of history or, even less, to encourage sterile enmities. The aim is to seek the truth and, together with it, genuine reconciliation among Chileans.",1990,positive,0.420622,"{'sadness': 0.284659, 'joy': 0.556628, 'fear': 0.162568, 'disgust': 0.0077, 'anger': 0.043292}"
46,"When the walls that separated peoples came tumbling down  '97 walls built in the mistaken belief that the order they were protecting would forever escape the great winds of space of dreams and of ideas  '97 I remember saying to my compatriots in France that, in these happy hours of which there are so few in history, the end of an order did not necessarily mean that another order would immediately be born, and that it would be very difficult.",1990,positive,0.78537,"{'sadness': 0.324572, 'joy': 0.614311, 'fear': 0.021156, 'disgust': 0.039973, 'anger': 0.02377}"
47,The cold war has ended. But as we assess its implications let us not entertain the rather simplistic notion that it has resulted in the victory of one side and the defeat of the other. I would like to believe that rationality and a growing awareness of the need for common security have won over the military and political doctrines which for so long have threatened to lead the world to the bring of collective self-destruction.,1990,negative,-0.699645,"{'sadness': 0.356278, 'joy': 0.158873, 'fear': 0.410909, 'disgust': 0.158162, 'anger': 0.167158}"
48,"The lawful defence and promotion of the sovereign interrelationship of nations does not conflict with the certainty of national identity but rather requires it. The scale of the world's great problems can no longer be used as a pretext for practising new forms of interventionist and hegemonism. To each citizen, each family and each society, forming part of a political community is something of decisive value. Only those that are sovereign agents respected by the international community can be participants in international affairs. In the words of Mexican internationalist Genaro Estradas 'No country should ask for something which the sovereignty of its own people gives it the right to receive.'",1990,positive,0.614936,"{'sadness': 0.235479, 'joy': 0.62452, 'fear': 0.007877, 'disgust': 0.026082, 'anger': 0.135827}"
49,"Indeed, what would become of our world if one State, by virtue of its strength and power, could do away with another with impunity; if a State, by virtue of its strength and power, could, from one day to the next, decide the fate of another and bring to an end its very existence as an independent and sovereign State?",1990,positive,0.732253,"{'sadness': 0.486033, 'joy': 0.24523, 'fear': 0.299347, 'disgust': 0.046434, 'anger': 0.069324}"
50,"Peace must be promoted. By every possible means,
especially through education, we must spread the word
everywhere that only tolerance, common sense,
understanding, good will, solidarity, respect for cultural
diversity with its intellectual and spiritual stimulation,
variety and the struggle for social progress and
brotherhood can lead to peace and can provide pride and
dignity to all human beings while eliminating
intransigence and racial, religious, social and political
hatred, which are at the root of all conflicts between
peoples and civilizations.",1995,positive,0.852951,"{'sadness': 0.098442, 'joy': 0.524151, 'fear': 0.106472, 'disgust': 0.175022, 'anger': 0.232255}"
51,"There are those who argue that, having overcome the
ideological conflict that divided the world for 45 years,
we are now entering into a conflict of civilizations as the
last phase in the evolution of the modern world’s
conflicts. Without accepting the determinism implicit in
that view, we cannot fail to observe that a lack of respect
for the cultural diversity of the human species could
indeed become a source of profound disputes.",1995,negative,-0.693716,"{'sadness': 0.397607, 'joy': 0.279199, 'fear': 0.239093, 'disgust': 0.004793, 'anger': 0.201818}"
52,"It has been a time for legitimate hope, but also a
time of fear and horror; a time for accomplishments, but
also a time of frustration; a time for confidence in a
brighter future for mankind, but also a time of regret for
the fact that peace, freedom, justice and well-being are
still unattained in many places in the world; a time in
which risks and opportunities coexist side by side.",1995,positive,0.523731,"{'sadness': 0.060622, 'joy': 0.523017, 'fear': 0.479884, 'disgust': 0.012209, 'anger': 0.004866}"
53,"Thus, the promotion of human rights, freedom and
democracy cannot be seen as unwarranted interference in
other people’s affairs. There cannot be political, cultural,
ethnic or religious reasons for trampling on human
dignity. This is the core of the emerging international
18


humanitarian law which Chile regards as a cornerstone of
the world order for the twenty-first century.",1995,negative,-0.758639,"{'sadness': 0.143986, 'joy': 0.248883, 'fear': 0.079506, 'disgust': 0.124631, 'anger': 0.136681}"
54,"Let me end this statement by quoting Robert Kennedy:
(spoke in English)
“It is from numberless diverse acts of courage
and belief that human history is shaped. Each time a
man stands up for an ideal or acts to improve the lot
of others, or strikes out against injustice, he sends
forth a tiny ripple of hope, and, crossing each other
from a million different centres of energy and daring,
those ripples build a current that can sweep down the
mightiest walls of oppression and resistance.”",1995,negative,-0.298959,"{'sadness': 0.062169, 'joy': 0.636584, 'fear': 0.068474, 'disgust': 0.172784, 'anger': 0.096299}"
55,"We have learned to focus on the security and needs
of human beings. Our goal must always be human
coexistence, irrespective of cultural, religious or ethnic
differences. We must never confine ourselves to drawing
up maps that reflect the realities of power politics. We
must never accept the evil of “ethnic cleansing”. If we do,
we will ultimately threaten ourselves and our future.",1995,negative,-0.591939,"{'sadness': 0.101367, 'joy': 0.582014, 'fear': 0.177361, 'disgust': 0.049866, 'anger': 0.126823}"
56,"Our hope that the end of the cold war would bring
in its train a new era of enduring peace and international
harmony has been rudely dispelled. Much has indeed
changed but much remains the same. The perennial
conflicts of the past are taking new and troubling
dimensions with “ethnic cleansing”, genocide and strident
forms of nationalism threatening international tranquillity.",1995,negative,-0.713041,"{'sadness': 0.189542, 'joy': 0.6266, 'fear': 0.165059, 'disgust': 0.006808, 'anger': 0.042827}"
